0922最后一次登陆前的等级,角色id,churn,角色,0922最后一次登陆后的等级,0922最后一次登陆升了多少等级,2日充值总值,战力,天书炼魔阵次数,仙门试炼次数,仙门试炼最高级,天书护送李英琼次数,天书保护苦行头陀次数,天书血魔幻境次数,天书圣焰战场次数,天书蟠桃园次数,banggong,isparty,首次炼魔阵等级,ispvp,isforge,Forge_time,Forge_success_rate,法宝修炼次数,融合法宝次数,玩家地区,kill_time,death_time,duanzao+1,duanzao+2,duanzao+3,duanzao+4,duanzao+5,duanzao+6,duanzao+7,duanzao+8,duanzao+9,duanzao+10,duanzao+11,duanzao+12,duanzao+13,whether_have_any_duanzao_+5
45,8102028180968046592,0,仙禽,45,0,0.0,86376.0,2,60,31,2,2,2,4,3,3400.0,1,36.0,1.0,1.0,87.0,100.0,53.0,9.0,菲律宾,30.0,19.0,0,0,0,3,3,3,1,1,0,0,0,0,0,1
43,8102028180978204672,0,青城,43,0,300.0,60275.0,2,41,23,2,2,2,0,0,3125.0,1,37.0,0.0,1.0,103.0,50.0,106.0,0.0,Others,0.0,1.0,1,0,0,4,3,0,1,2,0,0,0,0,0,1
23,8102028180982136832,1,青城,28,5,0.0,11232.0,1,0,0,0,0,0,0,0,0.0,0,27.0,0.0,0.0,0.0,0.0,3.0,0.0,菲律宾,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,8102028180982923264,0,峨嵋,41,0,0.0,63666.0,2,24,16,2,2,2,1,2,0.0,0,29.0,1.0,1.0,55.0,50.0,61.0,2.0,菲律宾,1.0,6.0,0,0,0,3,0,0,1,2,0,0,0,0,0,1
38,8102028180996653058,0,百花,42,4,60.0,74401.0,2,22,22,2,2,2,2,1,3520.0,1,33.0,1.0,1.0,54.0,68.0,43.0,4.0,菲律宾,7.0,13.0,1,0,0,4,2,0,1,2,0,0,0,0,0,1
1,8102028181022146560,1,青城,1,0,0.0,880.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,菲律宾,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,8102028181068775424,0,峨嵋,39,0,0.0,31994.0,1,0,0,0,0,0,0,1,0.0,1,37.0,0.0,0.0,0.0,0.0,29.0,1.0,菲律宾,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,8102028181089878016,0,峨嵋,45,0,660.0,93357.0,2,52,26,2,2,2,4,2,0.0,0,36.0,1.0,1.0,115.0,72.0,31.0,5.0,Others,30.0,24.0,0,0,0,3,0,0,1,2,0,0,0,0,0,1
31,8102028181102264320,1,百花,35,4,0.0,33593.0,0,10,10,0,0,0,0,0,400.0,1,0.0,0.0,1.0,9.0,64.0,23.0,1.0,菲律宾,0.0,1.0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
45,8102028181106655232,0,峨嵋,45,0,360.0,109775.0,2,43,30,2,2,2,4,2,0.0,0,31.0,1.0,1.0,91.0,50.0,65.0,15.0,菲律宾,48.0,34.0,1,0,0,3,5,3,1,2,0,0,0,0,0,1
42,8102028181123661825,0,峨嵋,42,0,0.0,74498.0,1,27,26,1,1,2,0,2,0.0,0,39.0,0.0,1.0,78.0,34.0,94.0,15.0,菲律宾,1.0,0.0,1,0,0,4,4,1,1,2,0,0,0,0,0,1
27,8102028181132836864,1,百花,32,5,0.0,25982.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,1.0,1.0,100.0,26.0,1.0,菲律宾,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
44,8102028181154463744,0,武尊,44,0,0.0,84479.0,2,21,20,2,2,2,5,2,0.0,0,36.0,1.0,1.0,83.0,70.0,71.0,25.0,菲律宾,52.0,42.0,1,0,0,4,5,3,1,2,0,0,0,0,0,1
39,8102028181184217088,1,百花,39,0,0.0,46041.0,1,14,14,0,1,1,0,1,450.0,1,38.0,0.0,1.0,30.0,76.0,27.0,2.0,菲律宾,0.0,1.0,0,0,0,3,0,0,1,2,0,0,0,0,0,1
45,8102028181246443520,0,仙禽,45,0,60.0,85783.0,2,55,26,2,2,2,13,3,9075.0,1,35.0,1.0,1.0,78.0,70.0,58.0,4.0,菲律宾,75.0,64.0,0,0,0,3,0,0,1,1,0,0,0,0,0,1
20,8102028181262991360,1,青城,28,8,0.0,25972.0,0,11,10,0,0,0,0,0,0.0,0,0.0,0.0,1.0,10.0,100.0,11.0,1.0,菲律宾,0.0,0.0,0,0,0,1,0,0,1,2,0,0,0,0,0,1
30,8102028181276131330,1,峨嵋,31,1,0.0,22380.0,0,9,9,0,0,0,0,0,0.0,0,0.0,0.0,1.0,6.0,87.0,23.0,0.0,菲律宾,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
44,8102028181376401408,0,武尊,45,1,0.0,97261.0,2,32,30,2,2,2,12,2,0.0,0,35.0,1.0,1.0,87.0,80.0,42.0,17.0,菲律宾,90.0,85.0,1,0,0,3,3,0,1,2,0,0,0,0,0,1
29,8102028181384527872,0,峨嵋,35,6,0.0,29525.0,1,18,10,0,0,1,0,0,900.0,1,15.0,0.0,1.0,3.0,100.0,29.0,0.0,菲律宾,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
36,8102028181388951552,0,武尊,36,0,0.0,34999.0,0,10,10,0,0,1,1,0,9720.0,1,0.0,1.0,1.0,22.0,80.0,50.0,3.0,菲律宾,0.0,9.0,0,0,0,1,0,0,1,2,0,0,0,0,0,1
45,8102028181433516032,0,仙禽,45,0,60.0,107425.0,2,50,33,4,4,4,4,1,0.0,0,36.0,1.0,1.0,92.0,64.0,32.0,7.0,菲律宾,28.0,21.0,1,0,0,4,2,0,0,2,0,0,0,0,0,1
43,8102028181467234305,0,青城,43,0,60.0,76161.0,2,29,26,2,2,2,3,1,0.0,0,25.0,1.0,1.0,68.0,70.0,60.0,8.0,菲律宾,1.0,20.0,1,0,0,4,1,0,1,2,0,0,0,0,0,1
45,8102028181470674944,0,仙禽,45,0,60.0,74238.0,2,22,20,2,2,2,4,2,701.0,1,33.0,1.0,1.0,82.0,72.0,48.0,6.0,菲律宾,19.0,44.0,0,0,0,3,0,0,1,1,0,0,0,0,0,1
10,8102028181472673792,1,仙禽,10,0,0.0,4879.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,菲律宾,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,8102028181478473728,0,峨嵋,42,2,0.0,69747.0,2,20,20,2,2,2,4,1,0.0,0,35.0,1.0,1.0,51.0,68.0,16.0,3.0,Others,8.0,40.0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
36,8102028181518450688,0,武尊,37,1,0.0,39806.0,1,11,11,0,0,0,0,0,0.0,0,36.0,0.0,1.0,9.0,100.0,56.0,0.0,菲律宾,0.0,0.0,0,0,0,0,0,0,1,2,0,0,0,0,0,1
16,8102028181521858560,0,仙禽,19,3,0.0,9229.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,菲律宾,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,8102028181562589184,1,青城,14,1,0.0,6824.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,菲律宾,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,8102028181563277313,0,青城,40,0,0.0,52087.0,1,34,20,0,0,0,4,1,520.0,1,39.0,1.0,1.0,50.0,100.0,50.0,8.0,菲律宾,10.0,38.0,1,0,0,4,3,1,1,2,0,0,0,0,0,1
42,8102028181607972864,0,百花,43,1,0.0,64192.0,2,43,24,2,2,3,1,1,1810.0,1,25.0,1.0,1.0,61.0,80.0,44.0,11.0,Others,1.0,10.0,0,0,0,4,1,0,1,1,0,0,0,0,0,1
43,8102028181618491392,0,青城,43,0,0.0,74091.0,2,46,26,2,2,3,2,2,6180.0,1,37.0,1.0,1.0,59.0,45.0,48.0,4.0,菲律宾,6.0,23.0,0,0,0,3,0,0,1,2,0,0,0,0,0,1
25,8102028181650243584,1,青城,35,10,0.0,21575.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,菲律宾,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,8102028181657321472,1,武尊,25,8,0.0,11356.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,菲律宾,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,8102028181680947200,0,仙禽,44,0,60.0,73988.0,2,30,26,2,2,2,2,2,0.0,0,37.0,1.0,1.0,83.0,85.0,65.0,14.0,菲律宾,8.0,20.0,1,0,0,4,4,1,1,2,0,0,0,0,0,1
15,8102028181680979968,0,峨嵋,18,3,0.0,9456.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,菲律宾,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,8102028181682126848,0,峨嵋,37,0,0.0,39789.0,1,11,11,0,0,1,0,0,0.0,0,36.0,0.0,1.0,19.0,68.0,46.0,3.0,菲律宾,0.0,0.0,0,0,0,0,0,0,1,2,0,0,0,0,0,1
17,8102028181700280321,0,武尊,20,3,0.0,9178.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,菲律宾,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,8102028181729673216,1,百花,30,12,0.0,33001.0,1,16,16,0,0,1,0,0,0.0,0,25.0,0.0,1.0,48.0,87.0,46.0,2.0,菲律宾,0.0,0.0,0,0,0,4,1,0,1,2,0,0,0,0,0,1
10,8102028181756674048,1,峨嵋,11,1,0.0,4796.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,菲律宾,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,8102028181908914176,0,武尊,39,1,0.0,44217.0,0,13,13,1,1,1,0,0,1000.0,1,0.0,0.0,1.0,64.0,100.0,38.0,1.0,菲律宾,0.0,0.0,1,0,0,4,5,2,1,2,0,0,0,0,0,1
5,8102028182012461056,1,青城,5,0,0.0,2093.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,菲律宾,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,8102028182012657664,1,青城,34,0,0.0,30374.0,0,11,11,0,0,0,1,0,500.0,1,0.0,1.0,1.0,4.0,85.0,30.0,0.0,菲律宾,1.0,5.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
32,8102028182050308096,0,武尊,32,0,0.0,30624.0,0,0,0,0,0,0,0,0,690.0,1,0.0,0.0,1.0,38.0,100.0,19.0,1.0,菲律宾,0.0,0.0,0,0,0,3,0,0,1,2,0,0,0,0,0,1
44,8102028182052962304,0,青城,44,0,420.0,84905.0,2,43,26,2,1,2,2,2,3410.0,1,38.0,1.0,1.0,87.0,45.0,35.0,12.0,菲律宾,16.0,25.0,1,0,0,4,1,0,1,2,0,0,0,0,0,1
35,8102028182078029824,0,仙禽,41,6,0.0,52774.0,1,30,19,1,1,2,2,1,0.0,0,38.0,1.0,1.0,17.0,64.0,19.0,1.0,菲律宾,8.0,15.0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
25,8102028182082945024,0,峨嵋,32,7,0.0,20294.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,菲律宾,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,8102028182092939264,1,青城,30,0,0.0,29466.0,0,0,0,0,0,0,0,0,1000.0,1,0.0,0.0,1.0,8.0,72.0,27.0,1.0,菲律宾,0.0,2.0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
38,8102028182170140672,0,百花,38,0,0.0,47135.0,0,18,18,0,0,2,0,1,0.0,0,0.0,0.0,1.0,46.0,87.0,58.0,10.0,菲律宾,0.0,0.0,1,0,0,4,2,0,1,2,0,0,0,0,0,1
22,8102028182270705664,1,峨嵋,22,0,0.0,11236.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,菲律宾,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,8102028182271426560,0,峨嵋,39,2,0.0,46952.0,1,31,18,0,0,3,2,0,0.0,0,37.0,1.0,1.0,33.0,25.0,49.0,8.0,菲律宾,2.0,12.0,0,0,0,3,0,0,1,2,0,0,0,0,0,1
11,8102028182300884992,1,青城,11,0,0.0,5074.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,菲律宾,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,8102028182330015744,0,青城,24,2,0.0,7774.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,菲律宾,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,8102028182424780800,0,青城,38,4,0.0,45809.0,1,14,14,1,1,1,0,0,2310.0,1,20.0,0.0,1.0,44.0,64.0,57.0,8.0,菲律宾,0.0,0.0,0,0,0,4,1,0,1,2,0,0,0,0,0,1
1,8102028182471376896,0,峨嵋,9,8,0.0,3816.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,菲律宾,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,8102028182548348928,0,仙禽,45,0,720.0,98601.0,2,44,33,2,2,2,10,1,680.0,1,36.0,1.0,1.0,133.0,68.0,63.0,10.0,菲律宾,69.0,61.0,1,0,0,4,1,0,1,2,0,0,0,0,0,1
27,8102028182571679744,0,百花,27,0,0.0,17691.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,1.0,3.0,100.0,11.0,1.0,菲律宾,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,8102028182593765376,1,百花,41,0,60.0,69337.0,2,21,21,2,2,2,2,2,0.0,0,38.0,1.0,1.0,60.0,70.0,35.0,7.0,菲律宾,3.0,9.0,1,0,0,4,4,1,1,2,0,0,0,0,0,1
19,8102028182610083841,1,百花,19,0,0.0,9811.0,0,0,0,0,0,0,0,0,1500.0,1,0.0,0.0,0.0,0.0,0.0,3.0,0.0,菲律宾,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,8102028182620831744,0,武尊,38,1,0.0,46587.0,1,33,17,0,0,1,3,0,0.0,0,16.0,1.0,1.0,57.0,70.0,46.0,4.0,菲律宾,4.0,39.0,1,0,0,4,3,1,1,2,0,0,0,0,0,1
35,8102028182640001024,0,峨嵋,35,0,0.0,27438.0,0,10,10,0,0,1,0,0,0.0,0,0.0,0.0,1.0,17.0,82.0,28.0,0.0,菲律宾,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
5,8102028182641082368,1,仙禽,12,7,0.0,6479.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,菲律宾,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,8102028182644850688,1,青城,17,7,0.0,8464.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,菲律宾,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8102028182657925120,1,青城,5,4,0.0,1701.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,菲律宾,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,8102028182674210816,0,青城,43,0,0.0,82761.0,1,25,24,1,1,2,4,1,0.0,0,31.0,1.0,1.0,75.0,50.0,31.0,14.0,菲律宾,22.0,36.0,0,0,0,4,4,1,1,2,0,0,0,0,0,1
1,8102028182676078592,1,青城,1,0,0.0,890.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,菲律宾,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,8102028182683746304,1,青城,15,0,0.0,8004.0,0,0,0,0,0,0,0,0,500.0,1,0.0,0.0,0.0,0.0,0.0,51.0,0.0,菲律宾,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,8102028182717431808,0,仙禽,26,8,0.0,17784.0,0,0,0,0,0,0,0,0,1500.0,1,0.0,0.0,0.0,0.0,0.0,39.0,0.0,菲律宾,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,8102028182749839360,1,武尊,8,1,0.0,3361.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,Others,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,8102028182764093440,1,武尊,22,3,0.0,11671.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,菲律宾,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,8102028182778740736,1,峨嵋,24,3,0.0,11993.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,菲律宾,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,8102028182785425408,1,武尊,29,6,0.0,25375.0,0,0,0,0,0,0,0,0,500.0,1,0.0,0.0,0.0,0.0,0.0,16.0,0.0,菲律宾,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,8102028182790832128,0,仙禽,39,0,0.0,39787.0,1,17,16,1,1,1,2,1,2725.0,1,28.0,1.0,1.0,15.0,85.0,17.0,0.0,菲律宾,0.0,14.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
15,8102028182790995968,1,峨嵋,16,1,0.0,6876.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,菲律宾,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,8102028182846930944,1,仙禽,24,0,0.0,11844.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,菲律宾,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,8102028182848929792,0,峨嵋,20,0,0.0,10872.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,菲律宾,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,8102028182850994176,0,百花,41,4,0.0,55346.0,1,16,16,2,2,2,0,0,10180.0,1,39.0,0.0,1.0,46.0,85.0,9.0,1.0,菲律宾,0.0,1.0,0,0,0,2,0,0,1,2,0,0,0,0,0,1
1,8102028182880092160,1,峨嵋,7,6,0.0,2170.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,菲律宾,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,8102028182886580224,0,百花,42,0,0.0,60192.0,1,34,23,1,0,2,0,0,0.0,0,36.0,0.0,1.0,62.0,70.0,56.0,12.0,菲律宾,0.0,2.0,1,0,0,4,4,3,1,2,0,0,0,0,0,1
35,8102028182900703232,1,青城,36,1,0.0,23835.0,0,11,9,0,0,1,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,菲律宾,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,8102028182930522112,0,青城,36,4,0.0,34713.0,1,9,9,0,0,0,0,0,0.0,0,28.0,0.0,1.0,51.0,70.0,20.0,0.0,菲律宾,0.0,0.0,1,0,0,3,5,2,1,2,0,0,0,0,0,1
1,8102028182942416896,1,百花,1,0,0.0,880.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,菲律宾,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,8102028182946250752,0,仙禽,42,2,0.0,58215.0,1,27,20,0,1,2,0,1,6070.0,1,37.0,0.0,1.0,61.0,80.0,60.0,7.0,菲律宾,1.0,3.0,1,0,0,3,2,0,1,1,0,0,0,0,0,1
35,8102028182948741120,1,峨嵋,35,0,0.0,38607.0,1,20,10,0,0,1,0,0,1690.0,1,30.0,0.0,1.0,39.0,80.0,51.0,2.0,菲律宾,0.0,0.0,0,0,0,4,1,0,1,2,0,0,0,0,0,1
37,8102028182952214528,0,仙禽,38,1,0.0,31204.0,1,13,13,0,0,0,1,0,0.0,0,35.0,1.0,1.0,15.0,100.0,19.0,0.0,菲律宾,0.0,5.0,0,0,0,0,0,0,1,2,0,0,0,0,0,1
37,8102028182956933120,0,武尊,37,0,0.0,27949.0,0,0,0,1,2,0,0,0,500.0,1,0.0,0.0,0.0,0.0,0.0,22.0,0.0,菲律宾,1.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,8102028182958735360,1,百花,18,11,0.0,8777.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,菲律宾,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,8102028182990258176,0,峨嵋,35,12,0.0,16483.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,菲律宾,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,8102028182993141760,0,青城,38,0,0.0,40461.0,2,15,11,1,1,1,0,2,0.0,0,35.0,0.0,1.0,13.0,64.0,370.0,0.0,菲律宾,0.0,4.0,0,0,0,0,0,0,1,2,0,0,0,0,0,1
38,8102028182997762050,0,青城,38,0,0.0,35310.0,1,8,8,1,0,1,0,1,4040.0,1,35.0,0.0,1.0,12.0,25.0,7.0,0.0,菲律宾,0.0,3.0,0,0,0,0,0,0,1,2,0,0,0,0,0,1
37,8102028183002578944,0,武尊,37,0,0.0,38608.0,0,10,10,0,0,2,0,0,350.0,1,0.0,0.0,1.0,19.0,85.0,44.0,1.0,菲律宾,0.0,2.0,0,0,0,0,0,0,1,2,0,0,0,0,0,1
37,8102028183006052352,0,青城,38,1,0.0,51312.0,1,22,20,0,1,2,1,1,0.0,0,36.0,1.0,1.0,53.0,85.0,52.0,13.0,菲律宾,4.0,8.0,1,0,0,4,3,0,1,2,0,0,0,0,0,1
